Na2O Al2O3 MgO SiO2 K2O CaO TiO2 Cr2O3 FeO	MnO X Y
0.0782	34.3370	10.5779	49.1067	0.0102	0.0094	0.0000	0.0000	4.5956	0.0000	-17.7601	7.0318
0.0792	34.3309	10.4717	48.5926	0.0066	0.0000	0.0000	0.0000	4.5748	0.0000	-17.7601	7.0562
0.0686	34.1926	10.8519	49.1536	0.0141	0.0000	0.0000	0.0000	4.2892	0.0000	-17.7601	7.0805
0.0812	34.3962	10.5238	49.1048	0.0255	0.0000	0.0000	0.0000	4.3372	0.0000	-17.7601	7.1049
0.0883	34.5047	10.8864	49.2082	0.0130	0.0203	0.0000	0.0000	4.1968	0.0000	-17.7601	7.1292
0.0792	34.4751	10.6659	49.1005	0.0135	0.0000	0.0000	0.0000	4.5015	0.0000	-17.7601	7.1535
0.0656	34.4708	10.7460	49.3523	0.0027	0.0094	0.0000	0.0000	4.4625	0.0000	-17.7601	7.1779
0.0687	57.1444	7.3206	0.4907	0.0000	0.0052	0.0000	0.0000	29.9435	0.0000	-17.7601	7.2022
0.0774	57.6583	7.6005	3.2574	0.0000	0.0105	0.0000	0.0000	28.0017	0.0000	-17.7601	7.2266
0.0781	34.6118	10.7175	48.9709	0.0358	0.0500	0.0000	0.0000	4.4729	0.0000	-17.7601	7.2509
0.0828	57.6547	7.2356	0.0190	0.0000	0.0105	0.0000	0.0000	30.8284	0.0000	-17.7601	7.2752
0.0720	57.0017	6.9548	0.0326	0.0073	0.0000	0.0000	0.0000	31.5764	0.0000	-17.7601	7.2996
0.0491	56.5111	7.1031	0.6068	0.0152	0.0112	0.0000	0.0000	31.1059	0.0000	-17.7601	7.3239
0.0501	34.7355	10.7817	49.2175	0.0026	0.0086	0.0000	0.0000	4.7474	0.0000	-17.7601	7.3483
0.0898	34.1138	10.6009	48.9321	0.0047	0.0094	0.0000	0.0000	4.7313	0.0000	-17.7601	7.3726
0.0741	34.2370	10.6422	49.1462	0.0020	0.0039	0.0000	0.0000	4.6276	0.0000	-17.7601	7.397
0.0908	34.5014	10.6263	49.3244	0.0061	0.0023	0.0000	0.0000	4.7207	0.0000	-17.7601	7.4213
0.0647	34.5600	10.5454	49.0684	0.0012	0.0164	0.0000	0.0000	4.7456	0.0000	-17.7601	7.4456
0.0564	34.2734	10.4644	48.7248	0.0045	0.0039	0.0000	0.0000	4.6707	0.0000	-17.7601	7.47
